dimension,source,df,sum_sq,F,p
narrative_quality,C(model),9.0,2324.213333333338,2012.7489603209594,0.0
narrative_quality,C(task),2.0,0.24111111111112501,0.9396007632467884,0.3909786473198792
narrative_quality,C(model):C(task),18.0,4.170000000000016,1.8055922501100907,0.019972979739853167
narrative_quality,Residual,1770.0,227.09999999999997,,
cultural_sensitivity,C(model),9.0,2332.6800000000076,2597.2470277410926,0.0
cultural_sensitivity,C(task),2.0,0.05333333333332908,0.26722023023209807,0.7655353426297806
cultural_sensitivity,C(model):C(task),18.0,3.4133333333333242,1.9002327483172883,0.012486264792982961
cultural_sensitivity,Residual,1770.0,176.63333333333327,,
historical_accuracy,C(model),9.0,1774.7605555555617,418.46687092727797,0.0
historical_accuracy,C(task),2.0,12.19444444444465,12.93885503047279,2.6388092969684063e-06
historical_accuracy,C(model):C(task),18.0,11.82777777777781,1.394422797260247,0.12393539078458149
historical_accuracy,Residual,1770.0,834.0833333333335,,
immersion,C(model),9.0,2265.446666666677,1450.9482558981106,0.0
immersion,C(task),2.0,18.47444444444453,53.24538645245357,3.505478553565484e-23
immersion,C(model):C(task),18.0,31.83666666666681,10.195198292082837,7.822294683389575e-28
immersion,Residual,1770.0,307.06666666666666,,
personalization,C(model),9.0,2279.90277777778,1522.4295613025754,0.0
personalization,C(task),2.0,3.2577777777778216,9.789372418086263,5.913863475063362e-05
personalization,C(model):C(task),18.0,7.308888888888953,2.4402945189544916,0.0006611834233049551
personalization,Residual,1770.0,294.51666666666665,,
