dimension,model_1,model_2,cohens_d,abs_d
narrative_quality,DeepSeek-V4-Flash,DeepSeek-V4-Pro,-0.10540925533894561,0.10540925533894561
narrative_quality,DeepSeek-V4-Flash,GLM-5.2,-0.10540925533894561,0.10540925533894561
narrative_quality,DeepSeek-V4-Flash,Kimi-K2.7-Code,0.0,0.0
narrative_quality,DeepSeek-V4-Flash,LongCat-2.0,0.4342018134487751,0.4342018134487751
narrative_quality,DeepSeek-V4-Flash,MiniMax-M2.5,0.46739254463946717,0.46739254463946717
narrative_quality,DeepSeek-V4-Flash,Nex-N2-Pro,6.6958348483034555,6.6958348483034555
narrative_quality,DeepSeek-V4-Flash,Pro-GLM-5.1,-0.10540925533894561,0.10540925533894561
narrative_quality,DeepSeek-V4-Flash,Pro-Kimi-K2.6,-0.10540925533894561,0.10540925533894561
narrative_quality,DeepSeek-V4-Flash,Pro-MiniMax-M2.5,0.30857403342489514,0.30857403342489514
narrative_quality,DeepSeek-V4-Pro,GLM-5.2,,
narrative_quality,DeepSeek-V4-Pro,Kimi-K2.7-Code,0.1054092553389456,0.1054092553389456
narrative_quality,DeepSeek-V4-Pro,LongCat-2.0,0.4497331286503698,0.4497331286503698
narrative_quality,DeepSeek-V4-Pro,MiniMax-M2.5,0.5009433806851809,0.5009433806851809
narrative_quality,DeepSeek-V4-Pro,Nex-N2-Pro,6.734332417920118,6.734332417920118
narrative_quality,DeepSeek-V4-Pro,Pro-GLM-5.1,,
narrative_quality,DeepSeek-V4-Pro,Pro-Kimi-K2.6,,
narrative_quality,DeepSeek-V4-Pro,Pro-MiniMax-M2.5,0.3380886853054158,0.3380886853054158
narrative_quality,GLM-5.2,Kimi-K2.7-Code,0.1054092553389456,0.1054092553389456
narrative_quality,GLM-5.2,LongCat-2.0,0.4497331286503698,0.4497331286503698
narrative_quality,GLM-5.2,MiniMax-M2.5,0.5009433806851809,0.5009433806851809
narrative_quality,GLM-5.2,Nex-N2-Pro,6.734332417920118,6.734332417920118
narrative_quality,GLM-5.2,Pro-GLM-5.1,,
narrative_quality,GLM-5.2,Pro-Kimi-K2.6,,
narrative_quality,GLM-5.2,Pro-MiniMax-M2.5,0.3380886853054158,0.3380886853054158
narrative_quality,Kimi-K2.7-Code,LongCat-2.0,0.4342018134487751,0.4342018134487751
narrative_quality,Kimi-K2.7-Code,MiniMax-M2.5,0.46739254463946717,0.46739254463946717
narrative_quality,Kimi-K2.7-Code,Nex-N2-Pro,6.6958348483034555,6.6958348483034555
narrative_quality,Kimi-K2.7-Code,Pro-GLM-5.1,-0.1054092553389456,0.1054092553389456
narrative_quality,Kimi-K2.7-Code,Pro-Kimi-K2.6,-0.1054092553389456,0.1054092553389456
narrative_quality,Kimi-K2.7-Code,Pro-MiniMax-M2.5,0.30857403342489514,0.30857403342489514
narrative_quality,LongCat-2.0,MiniMax-M2.5,-0.1533349067243285,0.1533349067243285
narrative_quality,LongCat-2.0,Nex-N2-Pro,5.026758900614516,5.026758900614516
narrative_quality,LongCat-2.0,Pro-GLM-5.1,-0.4497331286503698,0.4497331286503698
narrative_quality,LongCat-2.0,Pro-Kimi-K2.6,-0.4497331286503698,0.4497331286503698
narrative_quality,LongCat-2.0,Pro-MiniMax-M2.5,-0.2294563555467287,0.2294563555467287
narrative_quality,MiniMax-M2.5,Nex-N2-Pro,5.9907140638223915,5.9907140638223915
narrative_quality,MiniMax-M2.5,Pro-GLM-5.1,-0.5009433806851809,0.5009433806851809
narrative_quality,MiniMax-M2.5,Pro-Kimi-K2.6,-0.5009433806851809,0.5009433806851809
narrative_quality,MiniMax-M2.5,Pro-MiniMax-M2.5,-0.1121306739234129,0.1121306739234129
narrative_quality,Nex-N2-Pro,Pro-GLM-5.1,-6.734332417920118,6.734332417920118
narrative_quality,Nex-N2-Pro,Pro-Kimi-K2.6,-6.734332417920118,6.734332417920118
narrative_quality,Nex-N2-Pro,Pro-MiniMax-M2.5,-6.043909867141086,6.043909867141086
narrative_quality,Pro-GLM-5.1,Pro-Kimi-K2.6,,
narrative_quality,Pro-GLM-5.1,Pro-MiniMax-M2.5,0.3380886853054158,0.3380886853054158
narrative_quality,Pro-Kimi-K2.6,Pro-MiniMax-M2.5,0.3380886853054158,0.3380886853054158
cultural_sensitivity,DeepSeek-V4-Flash,DeepSeek-V4-Pro,-0.1054092553389456,0.1054092553389456
cultural_sensitivity,DeepSeek-V4-Flash,GLM-5.2,0.06097170921850504,0.06097170921850504
cultural_sensitivity,DeepSeek-V4-Flash,Kimi-K2.7-Code,-0.1054092553389456,0.1054092553389456
cultural_sensitivity,DeepSeek-V4-Flash,LongCat-2.0,0.20623037055036958,0.20623037055036958
cultural_sensitivity,DeepSeek-V4-Flash,MiniMax-M2.5,0.14237907388201948,0.14237907388201948
cultural_sensitivity,DeepSeek-V4-Flash,Nex-N2-Pro,6.45132578424595,6.45132578424595
cultural_sensitivity,DeepSeek-V4-Flash,Pro-GLM-5.1,-0.1054092553389456,0.1054092553389456
cultural_sensitivity,DeepSeek-V4-Flash,Pro-Kimi-K2.6,-0.1054092553389456,0.1054092553389456
cultural_sensitivity,DeepSeek-V4-Flash,Pro-MiniMax-M2.5,0.22695988933489128,0.22695988933489128
cultural_sensitivity,DeepSeek-V4-Pro,GLM-5.2,0.14948935135082606,0.14948935135082606
cultural_sensitivity,DeepSeek-V4-Pro,Kimi-K2.7-Code,,
cultural_sensitivity,DeepSeek-V4-Pro,LongCat-2.0,0.22465296968196607,0.22465296968196607
cultural_sensitivity,DeepSeek-V4-Pro,MiniMax-M2.5,0.21260766731710284,0.21260766731710284
cultural_sensitivity,DeepSeek-V4-Pro,Nex-N2-Pro,6.486686861233015,6.486686861233015
cultural_sensitivity,DeepSeek-V4-Pro,Pro-GLM-5.1,,
cultural_sensitivity,DeepSeek-V4-Pro,Pro-Kimi-K2.6,,
cultural_sensitivity,DeepSeek-V4-Pro,Pro-MiniMax-M2.5,0.2836816401546309,0.2836816401546309
cultural_sensitivity,GLM-5.2,Kimi-K2.7-Code,-0.14948935135082606,0.14948935135082606
cultural_sensitivity,GLM-5.2,LongCat-2.0,0.18826987160577546,0.18826987160577546
cultural_sensitivity,GLM-5.2,MiniMax-M2.5,0.08663279454194409,0.08663279454194409
cultural_sensitivity,GLM-5.2,Nex-N2-Pro,6.416632149468516,6.416632149468516
cultural_sensitivity,GLM-5.2,Pro-GLM-5.1,-0.14948935135082606,0.14948935135082606
cultural_sensitivity,GLM-5.2,Pro-Kimi-K2.6,-0.14948935135082606,0.14948935135082606
cultural_sensitivity,GLM-5.2,Pro-MiniMax-M2.5,0.1781315171733509,0.1781315171733509
cultural_sensitivity,Kimi-K2.7-Code,LongCat-2.0,0.22465296968196607,0.22465296968196607
cultural_sensitivity,Kimi-K2.7-Code,MiniMax-M2.5,0.21260766731710284,0.21260766731710284
cultural_sensitivity,Kimi-K2.7-Code,Nex-N2-Pro,6.486686861233015,6.486686861233015
cultural_sensitivity,Kimi-K2.7-Code,Pro-GLM-5.1,,
cultural_sensitivity,Kimi-K2.7-Code,Pro-Kimi-K2.6,,
cultural_sensitivity,Kimi-K2.7-Code,Pro-MiniMax-M2.5,0.2836816401546309,0.2836816401546309
cultural_sensitivity,LongCat-2.0,MiniMax-M2.5,-0.15361831505881757,0.15361831505881757
cultural_sensitivity,LongCat-2.0,Nex-N2-Pro,5.474515047259394,5.474515047259394
cultural_sensitivity,LongCat-2.0,Pro-GLM-5.1,-0.22465296968196607,0.22465296968196607
cultural_sensitivity,LongCat-2.0,Pro-Kimi-K2.6,-0.22465296968196607,0.22465296968196607
cultural_sensitivity,LongCat-2.0,Pro-MiniMax-M2.5,-0.10443739301849018,0.10443739301849018
cultural_sensitivity,MiniMax-M2.5,Nex-N2-Pro,6.349173790695398,6.349173790695398
cultural_sensitivity,MiniMax-M2.5,Pro-GLM-5.1,-0.21260766731710284,0.21260766731710284
cultural_sensitivity,MiniMax-M2.5,Pro-Kimi-K2.6,-0.21260766731710284,0.21260766731710284
cultural_sensitivity,MiniMax-M2.5,Pro-MiniMax-M2.5,0.09668122095650024,0.09668122095650024
cultural_sensitivity,Nex-N2-Pro,Pro-GLM-5.1,-6.486686861233015,6.486686861233015
cultural_sensitivity,Nex-N2-Pro,Pro-Kimi-K2.6,-6.486686861233015,6.486686861233015
cultural_sensitivity,Nex-N2-Pro,Pro-MiniMax-M2.5,-6.252552059551042,6.252552059551042
cultural_sensitivity,Pro-GLM-5.1,Pro-Kimi-K2.6,,
cultural_sensitivity,Pro-GLM-5.1,Pro-MiniMax-M2.5,0.2836816401546309,0.2836816401546309
cultural_sensitivity,Pro-Kimi-K2.6,Pro-MiniMax-M2.5,0.2836816401546309,0.2836816401546309
