response_id,model,task,positive_ratio,negative_ratio,neutral_ratio,sentiment_score
abe491e4dfec,LongCat-2.0,博物馆导览讲解,0.0,0.0036363636363636364,0.9963636363636363,-0.0036363636363636364
7abf1afcb13a,LongCat-2.0,历史场景叙事,0.0,0.0,1.0,0.0
a910c2804726,LongCat-2.0,沉浸式体验设计,0.002331002331002331,0.0,0.9976689976689976,0.002331002331002331
b1da5a36c090,LongCat-2.0,博物馆导览讲解,0.0111731843575419,0.0,0.9888268156424581,0.0111731843575419
75e0305e96f6,LongCat-2.0,历史场景叙事,0.0,0.0,1.0,0.0
b4a5c452e671,LongCat-2.0,沉浸式体验设计,0.0,0.004366812227074236,0.9956331877729258,-0.004366812227074236
a649d383f6fc,LongCat-2.0,博物馆导览讲解,0.003067484662576687,0.003067484662576687,0.9938650306748467,0.0
d7bcd4aa43be,LongCat-2.0,历史场景叙事,0.007194244604316547,0.0,0.9928057553956835,0.007194244604316547
c387794033e5,LongCat-2.0,沉浸式体验设计,0.0022222222222222222,0.0,0.9977777777777778,0.0022222222222222222
09d8b65cfb8e,LongCat-2.0,博物馆导览讲解,0.015384615384615385,0.005128205128205128,0.9794871794871794,0.010256410256410256
9e7b5db0b3e6,LongCat-2.0,历史场景叙事,0.011194029850746268,0.0018656716417910447,0.9869402985074627,0.009328358208955223
1740f71453f3,LongCat-2.0,沉浸式体验设计,0.0022222222222222222,0.0022222222222222222,0.9955555555555555,0.0
c638948c6ea8,LongCat-2.0,博物馆导览讲解,0.0,0.0,1.0,0.0
a20efd3ab456,LongCat-2.0,历史场景叙事,0.0,0.0,1.0,0.0
9b75e4f41d1b,LongCat-2.0,沉浸式体验设计,0.0,0.0,1.0,0.0
b2df31c89406,LongCat-2.0,博物馆导览讲解,0.003076923076923077,0.0,0.9969230769230769,0.003076923076923077
85696439e217,LongCat-2.0,历史场景叙事,0.0,0.0,1.0,0.0
5cf3394abff0,LongCat-2.0,沉浸式体验设计,0.0,0.0021645021645021645,0.9978354978354979,-0.0021645021645021645
1081b2fefe22,LongCat-2.0,博物馆导览讲解,0.015723270440251572,0.0031446540880503146,0.9811320754716981,0.012578616352201259
d09c103f7efb,LongCat-2.0,历史场景叙事,0.0034602076124567475,0.0,0.9965397923875432,0.0034602076124567475
4cd25180c555,LongCat-2.0,沉浸式体验设计,0.0,0.0,1.0,0.0
39b75ba71a6d,LongCat-2.0,博物馆导览讲解,0.0026666666666666666,0.0,0.9973333333333333,0.0026666666666666666
cf999dfd78db,LongCat-2.0,历史场景叙事,0.001851851851851852,0.001851851851851852,0.9962962962962963,0.0
